cell,long,lat,biomass,sr,evesimpson,jac,depth,chl,sst.sea,sst,pielou.sed,effort,feeding.mode_benthivorous,tl
11519,-1.25,61.25,408233.7063,27.53,0.091799722,0.624356659,191,1.207579231,0.187327605,9.777127576,0.057759867,717567.0645,0.266249568,3.902385062
11520,-0.75,61.25,360367.443,21,0.098690766,0.647334921,205,1.214691292,0.19459689,9.88497293,0.084375693,NA,0.252815998,3.897280487
11521,-0.25,61.25,415861.9968,22.62,0.07650547,0.6401287,94,1.196408901,0.19459689,9.88497293,0.046452885,587358.0879,0.248373889,3.931572155
11522,0.25,61.25,863559.1408,22.22,0.147153557,0.650676408,158,1.227495557,0.20449726,9.964220619,0.053837381,300401.8284,0.305659587,3.920054307
11523,0.75,61.25,355575.1216,22.85,0.118522853,0.637718823,172,1.263789096,0.20449726,9.964220619,0.074734016,664518.6905,0.258891419,3.932997196
11524,1.25,61.25,610742.2074,23.16,0.06488775,0.655124498,152,1.227820852,0.217567886,9.980266237,0.111680643,1144517.208,0.229985899,3.958295734
11525,1.75,61.25,537014.9754,17.63,0.09608576,0.678290988,163,1.156410413,0.217567886,9.980266237,0.104061663,2905000.691,0.311427053,3.872019879
11526,2.25,61.25,464899.944,20.77,0.113134012,0.662361841,209,1.264444385,0.236405312,9.930011314,0.11763596,4237435.549,0.30108234,3.941274842
11717,-2.25,60.75,478730.543,19.82,0.153687075,0.660986396,176,1.285563859,0.18053818,10.05366356,0.171045074,3055311.74,0.253567114,3.898110879
11718,-1.75,60.75,297769.2504,26.04,0.08779247,0.630839524,114,1.27977664,0.190782065,10.0727911,0.200042961,1186479.942,0.307824045,3.879478233
11719,-1.25,60.75,516052.7717,14.74,0.100588685,0.697590665,95,1.123153214,0.190782065,10.0727911,0.181196357,817537.8702,0.261537222,3.884639266
11720,-0.75,60.75,276054.6417,26.06,0.133177241,0.605633391,93,1.08312606,0.202666875,10.10974661,0.205504589,1254103.778,0.382450257,3.81869566
11722,0.25,60.75,701203.7665,21.42,0.099649761,0.639355052,142,1.140811163,0.216520661,10.14472546,0.098847683,660639.209,0.269490592,3.939570993
11723,0.75,60.75,513405.5501,23.48,0.072765443,0.641274333,135,1.02090325,0.216520661,10.14472546,0.093885283,880090.5874,0.258220313,3.924169485
11724,1.25,60.75,569363.6919,20.34,0.09252657,0.683281146,143,0.887104881,0.232442155,10.13424188,0.147117297,1013906.361,0.23992899,3.934357118
11725,1.75,60.75,1088066.528,20.29,0.073617027,0.675131224,120,0.809328832,0.232442155,10.13424188,0.153901944,408852.3631,0.257607795,3.934594418
11726,2.25,60.75,386685.192,16.05,0.194339771,0.697440725,128,0.857558029,0.252657219,10.071745,0.107852025,1427482.75,0.316982601,3.895453979
11727,2.75,60.75,315300.5048,20.9,0.099355342,0.674055989,127,1.02619586,0.252657219,10.071745,0.123440145,NA,0.314887382,3.911836581
11728,3.25,60.75,621449.2689,21.89,0.065796946,0.670105317,321,1.151539974,0.280615691,9.996211789,0.345249457,2048298.435,0.325305882,3.894302852
11915,-3.25,60.25,1683824.967,19.72,0.07652542,0.66948869,131,1.282758531,0.172412964,10.04946151,0.141290784,2189621.813,0.339663308,3.867776326
11916,-2.75,60.25,434816.2816,26.62,0.0712822,0.618233425,136,1.307135814,0.18053818,10.05366356,0.164466301,1974758.154,0.285429762,3.884305037
11918,-1.75,60.25,689231.08,27.01,0.139708641,0.621664054,71,1.148118463,0.190782065,10.0727911,0.203770036,1105373.236,0.379613888,3.817464174
